n | RT @GameOverGreggy: BUT I DON'T WANT IT TO END
n | Last time she had a breakdown she turned her arse into a rose garden. Now she's making notes on her norks. https://t.co/IIqsvHYU2d
p | This is the secret to stepping outside the box and releasing your true potential https://t.co/U78u5lXgE2
p | ANNOUNCEMEnt: all my videos are now: Family friendly content exclusively- Over 10 minute watch time- Whatever else helps the algoritm
p | "well you see the reason poodiepie got big is because @youtube promotes his videos all over the site" #gaming https://t.co/RzBrlPPuKz
p | ?? thank you  https://t.co/Db9Ac2zque
n | The BBC recipe charade demonstrates how they use our cash to play us for fools. https://t.co/1p2ppHroX6 https://t.co/bnU25Wygno
p | You're not so bad yourself @KarenDavid In fact-I think you, your show &amp;the entire cast are all just #Galavanterrific https://t.co/tGFO3aMLa1
p | RT @DerekTVShow: "I fucking love Wednesdays!" - Watch all the episodes of #Derek now on #Netflix! https://t.co/fKbhtKfH6J
p | My princess growing up way too quick! ???????? https://t.co/Q70QJgO5cD
p | New 10k run record!! #onlycountsifupostonline https://t.co/stdhv1bBU8
p | RT @JohnHendrick13: Read American Alien 7 last night by @Uptomyknees and @jock4twenty Gorgeous end to the series. https://t.co/IgAG99KVJh
p | I NEED #MoreGalavant!!! This show is really worth saving: Astoundingly Original Epic Musical-Comedy Classic! #GR8TV https://t.co/KtLW6ek6ss
p | RT @ReIief: incase you're having a bad day, just watch this video of an otter eating lettuce https://t.co/XW7SuEAOIr
p | Lovely thing to read on a morning thank you that's really kind of you to say xx https://t.co/faY1SLR5fl
p | "ZOMFG!! The Pirate Bay now has an official theme song! http://ping.fm/EM2Ce Sweetness! It's quite catchy, too "
p | Zomg I can't wait to get to Chicago!! 
p | ZOMG I just figured out I can finally upgrade my phone to the iPhone :] I'm excited now  Anyone else use the term ZOMG? Reply with ZOMG 
p | ZOMG Quasi-orgasm when I got one Zegna tie with the purchase of two. 
p | zomg yay footy show won 
p | ZOMG YOU KNOW COBRA STARSHIP. ZOMG I LOVE COBRA STARSHIP!!!!!! HAVE YOU HEARD THEIR 'GOOD GIRLS GO BAD'??? IS HOT TO TROT LIKE MAJOR! 
p | "ZOMG! Caught up from three days backlog of Tweets, including some...enthusiastic...Twitterers. Now I'm all relaxed. "
p | "zomg, CLE -&gt; SEA is pretty far it turns out.  Just got in, reveling in #notacon Anything But Ethernet victory "
p | Zomg. The cheesecake i made yesterday is completely orgasmic  yummmmmmmm
p | Zoo was fun... Lunch time 
p | zoo was rad today. feeling tired and not motivated to clean. sex n the city in bed i think 
p | Zoo with the woman 
p | Zoom zoom! Back to bristol today I have my bear in the car he waves at people for me  http://short.to/5hlv
p | "Zow, finished uploading pictures on Flickr and Facebook, now time for my weekend newspaper in the yard in the sun with a cup of tea "
p | Zrock was awesome!! 
p | ZTecWiz bought mIRC for $10 
p | 'Zu Spät' by Die Ärzte. One of the best bands ever 
p | Zuma bitch tomorrow. Have a wonderful night everyone  goodnight.
p | zup there ! learning a new magic trick 
p | zyklonic showers   *evil*
p | ZZ Top – I Thank You ...@hawaiibuzz   .....Thanks for your music and for your ear(s) ...ALL !!!! Have a fab... ? http://blip.fm/17qir4
p | zzz twitter. good day today. got a lot accomplished. imstorm. got into it w yet another girl. dress shopping tmrw 
p | "zzz's time, goodnight.  http://plurk.com/p/ri9qn"
p | Zzzz... Fuck ü : Zzzz... Fuck ü  http://bit.ly/1a8JxZ
p | Zzzz...no work tomorrow..yayyy!! 
p | ZZZZZ time.. Tomorrow will be a busy day for serving &amp; loving people! Luv y'all!  
p | Zzzzzz.... Finally! Night tweeters! 
p | "Zzzzzzz, sleep well people "
p | zebrahead vs. paramore - crushed into you. very cool thing.  best mash-up i've ever heard. ?
p | Zedge.com is the future for free ringtones
n | &lt;-------- This is the way i feel right now...
n | " awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
n | HUGE roll of thunder just now...SO scary!!!!
n | I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.
n | Very sad about Iran.
n | wompppp wompp
n | &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*
n | ... Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
n | BoRinG ): whats wrong with him?? Please tell me........ :-/
n | can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
n | " Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
n | I didn't realize it was THAT deep. Geez give a girl a warning atleast!
n | I hate it when any athlete appears to tear an ACL on live television.
n | i miss you guys too i think i'm wearing skinny jeans a cute sweater and heels not really sure what are you doing today
n | -- Meet your Meat http://bit.ly/15SSCI
n | My horsie is moving on Saturday morning.
n | No Sat off...Need to work 6 days a week 
n | Really Dont Like Doing my Room Its So Boring Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One Yay
n | " SOX! Floyd was great, but relievers need a scolding!"
n | times by like a million
n | what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever :'(
n | &amp;&amp;Fightiin Wiit The Babes...
n | *enough said*
n | @Spiral_galaxy @YMPtweet it really makes me sad when i look at Muslims reality now
n | - All Time Low shall be my motivation for the rest of the week.
n | " and the entertainment is over, someone complained properly.. @rupturerapture experimental you say? he should experiment with a melody"
n | another year of Lakers .. That's neither magic nor fun ...
n | baddest day eveer. 
n | but i'm proud.
n | congrats to helio though
p | I see everyone post about this so I had to try it myself! Now I'm obsessed with my smile! https://t.co/biygekKG9U https://t.co/CntN4LDyRy
p | YAS QUEEN https://t.co/bqDqZUMb4g
n | RT @MikaelThalen: Ed @Snowden on Destroyed Torture Report: 'When CIA Destroys Something, It's Never a Mistake' https://t.co/wsbezBKlbO http…
n | Pretty upset that my bustling and rabid fandom doesn’t have a meetup of its own. We’re gonna have to fix this. https://t.co/3WcmUbjOC6
p | The force is strong in this one. Yoda Hopkins. https://t.co/q5OXTDbdfM @todayfm https://t.co/4YizQ4IJeR
p | Can't even physically express how spotless my house is after a day of spring cleaning. Wowzers! Move over Kim and Aggie! ??????????????
p | Ok guys, I see everyone post about this so I had to finally try it myself and now I'm OBSESSED… https://t.co/biygekKG9U
n | RT @dannyyadron: Some say Google's new encryption tools are "too little too late." https://t.co/7bNU9Qf7NX
p | Loves her porridge ???????? #mycosatto #siera #6months https://t.co/84i89B8nH7
n | I mean in my defense I don't own an iron so I couldn't iron them. Not sure if that make it better or worse. But yeah.
n | No I did not iron them first. I'm not a fucking insane person. They'll figure it out after a while.
p | After 2 yrs of paper curtains we finally put real ones up holy shit theres light in here its like someone lives here https://t.co/kvc0iTHh7S
p | You’re hell-arious
n | OMG why am I so tired again?! All my days roll into one ??????
n | If you ever doubt that we live in a classist patriarchy, remind yourself that there is an item of clothing we casually call a "wifebeater."
p | Here's Sturridge's sublime finish for you: https://t.co/HE6Y2evgN1
n | It's okay to dance to a song/sing along to it, but if you quote the lyrics in your Instagram, you're in trouble.Fuck that shit.Stupid.
n | I See Destruction Ahead.Bernie&amp; Hillary supporters DONT COME 2GETHER(NO MATTER WHO IS NOMINEE)ACT LIKE PETULANT REBELS,TRUMP WLL DESTROY ????
n | Wont 2spend another min on Bernie vs Hillary.u want 2 see HELL??WATCH TRUMPS?MACHINE TRAMPLE YOUR CIVIL RIGHTS IN2 DIRT,START WW3,CAUSE ????s??
p | Fabulous goal by the exceptionally talented @DanielSturridge
p | Just made a new pal #spike https://t.co/MhpXRFJWQ1
p | RT @vodbaby: @KTHopkins heard your interview on #TheLastWord say it how it is!
p | My fan luv world wide salute !!! #wethebest
n | RT @tom7j: They don't want me to train in my @WeTheBestStore tee #LionOrder @djkhaled ???? https://t.co/oFnkzHrzHR
p | RT @GBobD: Just picked up the last issue of #AmericanAlien, what a ride. Truly one of the greatest Superman stories in history. Landis, you…
p | RT @narco_sloth: Congrats @Uptomyknees on a brilliant series. The first time I purchased every issue, didn't expect it to be superman https…
p | Thanks for having me! As I always say, @NASA is the best brand the United States has. https://t.co/hq3He7zQAx
p | Such a beautiful and creative play...  https://t.co/7zJTBebcoY
p | All praise to the most high bless up ????
p | We launched @NYforCleanPower! A statewide campaign for #cleanenergy #electricvehicles and more in NY! https://t.co/sHufKzl74U @NYGovCuomo
n | Have you ever noticed that the people who can always think of a more worthy cause than yours do fuck all for either.
n | The sausage up my arse was making @cooper_m feel inadequate @todayfm https://t.co/L9Q6N0lhu2
n | Experts: #TSA Gridlock Could Be A ‘Manufactured Crisis’ - https://t.co/lezwvjVhs2
n | RT @lisanandy: The Tories axed the EMA &amp; Future Jobs Fund. Now they're raising tuition fees again. Help us stop them #torypricetag
p | Thank you Louisiana! #Trump2016 https://t.co/u8hhrRRFMp
p | Making Britain Great again @todayfm with @cooper_m he loved it. X https://t.co/HPbCxXkbCh
p | What a pudding this one is ?? so happy with my purchase @Cosatto_Tweets high chair is the best… https://t.co/bUwckVcNHJ
p | Thank you Arizona! See you soon!#MakeAmericaGreatAgain https://t.co/IC3pe5lRAS
p | Embrace your blessings ?? they don't want you to smile ?? so what we going to do is smile
p | pewdiepie, what a guy
n | Who has their worst qualities as part of their name? Untrustworthy-Dangerous-Unreliable #AlvinTheTreacherous does! https://t.co/HgoojLPejB
n | RT @NickCohen4: EU-bashing stories are misleading voters – here are eight of the most toxic tales | Luke Lythgoe and Hugo Dixon https://t.c…
n | how the fuck did we get to the place where the most powerful  country in the world is going to be governed by an asshole or an  asterisk
n | no matter who you're supporting in the election, how crazy is it that we only have 2 options that big groups on both sides hate intensely
n | Ergh ?? such a bad sleep ??????
n | Waking up to the news that an Egyptair plane is missing. Heartbreaking ???????? terrifying, scared of flying. Thoughts are with families ??????????????
n | Missing Cuba https://t.co/cFKvhBtISm
n | RT @DRUDGE_REPORT: Pakistani Man Arrested at Texas Border... https://t.co/rtxeK34g5J
n | Some low-life journalist claims that I "made a pass" at her 29 years ago. Never happened! Like the @nytimes story which has become a joke!
n | Shop now https://t.co/WrWg3gyJBB https://t.co/Hl7wkI8HO2
p | omg its already 7:30 :O
p | Juuuuuuuuuuuuuuuuussssst Chillin!!
p | thanks to all the haters up in my face all day! 112-102
p | Feeling strangely fine. Now I'm gonna go listen to some Semisonic to celebrate
p | You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
n | is so sad for my APL friend.............
n | I missed the New Moon trailer...
n | .. Omgaga. Im sooo im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
n | i think mi bf is cheating on me!!!  T_T
n | or i just worry too much?
p | Can I get a encore @wethebestmusic @rocnation ?? https://t.co/P1fklsoqcS
p | New music soon come?? its coming ?? @wethebestmusic @epic_records https://t.co/aPogtfEeM6
p | Take a toast to success ! #DusseDon @dussecognac https://t.co/d68jBbMUDH
p | RT @maripalomino155: Thank you @Beyonce and @djkhaled  for one hell of a show ????
p | Some things are too sweet for words. My unconditional love angel pig. ???? https://t.co/PkuQ9FdZuB
p | RT @NPR: One of the missing Nigerian schoolgirls abducted by Boko Haram in 2014 has reportedly been found. https://t.co/beek0ik4tQ
p | ?????????? love my babies #AdultSwim https://t.co/GolYPp4yHV
p | This is a must see, I'm going to check this out tomorrow it's in theaters everywhere. #FRIGO https://t.co/DiyvSVZfxd
p | Seattle #formationtour???? your energy was so amazing !!! Thank u for all the luv! @wethebestmusic… https://t.co/t2f6LJHlct
p | RT @itscharlesjones: @djkhaled lit right now in Seattle
p | .@melindagates explains why we are investing in better data for women and girls… https://t.co/kjDeD9ZjHK
p | My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!
p | tell me why you know every word already ?????? I love you from the bottom of my heart, Ny. what a special night.
p | We the best store . Com  https://t.co/Q63x9dq8kJ
p | Thank u bless up  https://t.co/GC2sMDlLZQ
p | it is rare and special for a screenwriter to get tweets like this and don't think I don't appreciate i thank you https://t.co/8VS4UzWsq6
p | agree with you. her voice is amazing! #Greenleaf  https://t.co/uN7QI5dhiS
p | RT @GreenleafOWN: .@EmpireFOX The LORD is good!! #Greenleaf ?? https://t.co/rijXbON71W
p | thank you, everyone#americanalien was the ultimate rush it was about time i put my money where my mouth is https://t.co/Yagkp5KqND
p | yoooooo that last one looks NICE ?? https://t.co/LPSGa7nQUu
p | My favorite thing Lately https://t.co/O5Y10OTUrk
p | Just discovered this tv show Plebs ???????? how have I only just seen this ????????????????
p | RT @DavidBrentMovie: "I've been David Brent, you've been the best!" - #TheOffice is now streaming on @netflix https://t.co/WxcOgBFck1
p | "Sir, I salute your courage, your strength, and your indefatigability" https://t.co/S6HZIJBoTo
p | it's ok I fixed it you guys @scalzi @Popehat @bradheath https://t.co/ve8jdnCZBR
n | Isn't it strange that it's legal to own a woman this way? Listen Ursula, we want her voice back. #freeKesha  https://t.co/rifG9nWRWw
n | Are you concerned that Trump wants to talk with Kim Jong-Un? Could Cameron learn from him? 0345 6060973 @LBC https://t.co/MTECbxLxJj
n | RT @OpieandJimmy: Ricky Gervais explains why PC culture is destroying comedy https://t.co/kbvqwLyO4M
n | RT @itsonlymesarah: @Imogen_Thomas wasn't expecting it.  So sad.  I was crying over the deaf man who said his parents never signed to him ??…
n | So sad to see leyton passed. Very sad #oneborn
n | If you don’t finish this, I will sue you. https://t.co/s6hfLZozu0
n | Okay, I'm being told that I probably won't get my channel deleted. Still, this sucks. Might be Vimeo ahoy for me
n | So I couldn't skip songs and ended up listening to ambient noise for 30 minutes. Not so fun.
n | RT @ChezneyforNow: Don't let social media fool you , people are going through serious issues and nobody is there for them
n | Strained my back muscle carrying my 30 pound back pack at the airport... Lesson learned. LoL.
n | RT @ShadowTodd: I miss the Mickey Mouse of my youth. https://t.co/Gm2OxxCEnt
n | If you're going to say anything is "like Dark Souls" please be prepared to expand on that because by nature that statement is so empty.
n | This day is a challenge
n | ...where the hell did the day go?
n | Guile feels so poop. LoL.
n | Why is everyone watching #OrphanBlack ahead of me? Y'all know you're supposed to wait so we can binge watch it together! #disappointed
n | When Views still hasn't been played and your starting to get mad https://t.co/ajvfHhAL5R
n | They really had the nerve to play some old drake ??
n | RT @weeaboo: i nominate this for the worst election article https://t.co/WOaDeH5wIW
n | Telling me to undo a thing I can't undo, or to feel worse about a thing I already feel gross over, is not really helpful or friendly. Don't.
n | Just signed a lease I don't feel great about. Mentioned that on facebook. Now feel much worse about it. Cool.
n | I am of course totally stressed out now though. Interactions like that online are tough; that's why so many people avoid comment threads.
n | Need a new job. Wish I could work from home. This is bs
n | I actually feel bad for the Sad Puppies, who have been kicked out of their own protest by troll voting &amp; stupidity. https://t.co/HpKhu25Ttj
n | Mostly inaccurate. https://t.co/WRMxWW9jxQ
n | Sunny Again  Work Tomorrow :-|  TV Tonight
n | I must think about positive..
n | this weekend has sucked so far
n | jb isnt showing in australia any more!
n | ok thats it you win.
p | " goodbye exams, HELLO ALCOHOL TONIGHT "
p | uploading pictures on friendster 
p | bathroom is clean..... now on to more enjoyable tasks......
p | boom boom pow
p | go give ur mom a hug right now. http://bit.ly/azFwv
